"NC Code","Supplier","Brand Name","Age","Proof","Bottle Size","Retail Bottle Price","Mixed Beverage Price",
00-005,"Hello Cello LLC","Hookers House Bourbon","","100",".75L","$47.65","$51.40",
00-008,"Sazerac Co.","Bowman Brothers Small Batch 7Y","007Y","90",".75L","$29.95","$33.70",
00-009,"Sazerac Co.","John J. Bowman Single Barrel 10Y","010Y","100",".75L","$49.95","$53.70",
00-011,"Brown - Forman","Old Forester 1870 Craft","","90",".75L","$44.95","$48.70",
00-012,"Brown - Forman","Old Forester 1897","","100",".75L","$49.95","$53.70",
00-013,"Brown - Forman","Old Forester 1920","","115",".75L","$59.95","$63.70",
00-014,"Brown - Forman","Old Forester 1910","","93",".75L","$54.95","$58.70",
00-016,"Brown - Forman","Old Forester Statesman","","95",".75L","$54.95","$58.70",
00-107,"Pernod Ricard","Midleton Barry Crockett","","92",".75L","$264.95","$268.70",
00-111,"Brown - Forman","Jack Daniel's Sinatra","","90","1.00L","$169.95","$174.95",
00-112,"Hotaling & Co","LOT 40 Rye","","86",".75L","$39.90","$43.65",
00-119,"Pernod Ricard","Redbreast 15Y","015Y","92",".75L","$104.95","$108.70",
00-120,"Brown - Forman","Jack Daniel's No. 27 Gold","","80",".75L","$99.95","$103.70",
00-121,"Remy Cointreau","Westland American Single Malt","","92",".75L","$69.95","$73.70",
00-122,"Park St Imp/ Virginia Distillery","Virginia-Highland Cider Cask","001Y","92",".75L","$59.95","$63.70",
00-124,"WhistlePig LLC","WhistlePig 15Y","015Y","92",".75L","$249.95","$253.70",
00-126,"Pernod Ricard","Midleton Very Rare Irish","","80",".75L","$164.95","$168.70",
00-127,"Pernod Ricard","Yellow Spot","012Y","92",".75L","$121.95","$125.70",
00-202,"Moet Hennessy","Ardbeg Corryvreckan","","114.2",".75L","$89.95","$93.70",
00-203,"Moet Hennessy","Ardbeg Uigeadail","","108.4",".75L","$79.95","$83.70",
00-204,"Edrington Americas","The Macallan Triple Cask Matured 18Y","018Y","86",".75L","$324.95","$328.70",
00-206,"Beam Suntory","Laphroaig Triplewood","004Y","96",".75L","$74.95","$78.70",
00-209,"Moet Hennessy","Glenmorangie Signet S.M.","","92",".75L","$199.95","$203.70",
00-214,"Edrington Americas","Highland Park 18Y","018Y","86",".75L","$154.95","$158.70",
00-215,"Brown - Forman","Glendronach 12Y S.M.","012Y","86",".75L","$67.95","$71.70",
00-217,"Beam Suntory","Auchentoshan Three Wood","","86",".75L","$69.95","$73.70",
00-218,"Remy Cointreau","Bruichladdich Port Charlotte 10Y","010Y","100",".75L","$64.95","$68.70",
00-219,"Remy Cointreau","Bruichladdich Scottish Barley","","100",".75L","$56.95","$60.70",
00-221,"Brown - Forman","Ben Riach 10Y","010Y","86",".75L","$59.95","$63.70",
00-222,"Remy Cointreau","Bruichladdich Islay Barley","","100",".75L","$69.95","$73.70",
00-225,"Edrington Americas","The Macallan Rare Cask","","86",".75L","$299.95","$303.70",
00-226,"Pernod Ricard","Aberlour A'Bunadh","","119.4",".75L","$94.95","$98.70",
00-227,"E & J Gallo Winery","The Dalmore 15Y","","80",".75L","$135.80","$139.55",
00-229,"E & J Gallo Winery","The Dalmore Port Wood Reserve","","93",".75L","$99.95","$103.70",
00-231,"E & J Gallo Winery","The Dalmore Cigar Malt Reserve","","88",".75L","$189.85","$193.60",
00-233,"USDP / Phillips","Tomatin 18Y","018Y","92",".75L","$99.95","$103.70",
